TTT,LOS,Date of Search,Index,Hotel Name,Price Before Tax,Price After Tax,Rating,Classification,Reviews,Neighborhood
1,1,2024-07-20,86,Hotel Boutique at Grand Central,288,363,8.6,Excellent,1086,New York
1,1,2024-07-20,87,Hotel Stanford,314,345,8.6,Excellent,136,New York
1,1,2024-07-20,88,The Bowery Hotel,505,569,9.4,Exceptional,452,New York
1,1,2024-07-20,89,Pendry Manhattan West,633,730,9.8,Exceptional,325,Chelsea
1,1,2024-07-20,90,The Shelburne Sonesta New York,329,354,8.6,Excellent,1391,New York
1,1,2024-07-20,91,Fairfield Inn & Suites New York Manhattan / Central Park,295,342,8.4,Very Good,1002,New York
1,1,2024-07-20,92,Motto By Hilton New York City Times Square,239,312,9.0,Wonderful,967,Theater District
1,1,2024-07-20,93,"The Algonquin Hotel Times Square, Autograph Collection",239,318,8.8,Excellent,1002,Central New York City
1,1,2024-07-20,94,Made Hotel,278,357,9.2,Wonderful,329,New York
1,1,2024-07-20,95,The Shoreham Hotel,253,306,7.6,Good,1008,Central New York City
1,1,2024-07-20,96,1 Hotel Central Park,670,579,9.0,Wonderful,1001,Central New York City
1,1,2024-07-20,97,"The Langham, New York, Fifth Avenue",549,635,9.4,Exceptional,1004,New York
1,1,2024-07-20,98,Fitzpatrick Manhattan Hotel,288,363,9.0,Wonderful,1006,New York
1,1,2024-07-20,99,The Marlton Hotel,377,385,9.2,Wonderful,1004,Greenwich Village
1,2,2024-07-20,0,Millennium Hilton New York One UN Plaza,256,337,8.2,Very Good,1382,New York
1,2,2024-07-20,1,Moxy NYC Chelsea,290,370,8.6,Excellent,1020,Chelsea
1,2,2024-07-20,2,Penny Williamsburg,379,410,9.4,Exceptional,532,Williamsburg
1,2,2024-07-20,3,"PUBLIC, an Ian Schrager hotel",398,506,8.2,Very Good,2636,New York
1,2,2024-07-20,4,Hilton Garden Inn New York Times Square South,285,330,9.0,Wonderful,3228,New York
1,2,2024-07-20,5,The Maritime Hotel,277,290,9.4,Exceptional,1003,New York
1,2,2024-07-20,6,Pod Times Square,233,294,8.8,Excellent,4193,New York
1,2,2024-07-20,7,Delta Hotels by Marriott New York Times Square,259,256,7.8,Good,536,New York
1,2,2024-07-20,8,"Park South Hotel, part of JdV by Hyatt",240,313,9.2,Wonderful,1001,New York
1,2,2024-07-20,9,Chelsea Savoy Hotel,275,319,8.6,Excellent,2005,Chelsea
1,2,2024-07-20,10,Hilton Garden Inn New York/West 35th Street,261,303,9.0,Wonderful,2176,New York
1,2,2024-07-20,11,Park Terrace Hotel,311,401,9.4,Exceptional,1332,Central New York City
1,2,2024-07-20,12,The Muse New York,344,444,9.2,Wonderful,1068,Theater District
1,2,2024-07-20,13,Courtyard by Marriott New York World Trade Center Area,215,250,8.8,Excellent,570,New York
1,2,2024-07-20,14,Millennium Hilton New York One UN Plaza,256,337,8.2,Very Good,1382,New York
1,2,2024-07-20,15,"Club Quarters Hotel, Grand Central",288,363,8.8,Excellent,2043,New York
1,2,2024-07-20,16,"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",254,295,7.4,Good,1007,Chelsea
1,2,2024-07-20,17,Courtyard by Marriott New York City Manhattan Fifth Avenue,254,295,8.4,Very Good,1001,New York
1,2,2024-07-20,18,70 Park Avenue,220,296,9.0,Wonderful,1004,New York
1,2,2024-07-20,19,Best Western Premier Empire State Hotel,267,310,9.0,Wonderful,711,New York
1,2,2024-07-20,20,Hotel 27 by LuxUrban,220,256,7.6,Good,459,New York
1,2,2024-07-20,21,Courtyard by Marriott New York Manhattan / Chelsea,281,328,9.2,Wonderful,1003,Chelsea
1,2,2024-07-20,22,"Club Quarters Hotel, World Trade Center",260,331,8.6,Excellent,1431,New York
1,2,2024-07-20,23,Moxy NYC Downtown,269,291,8.6,Excellent,1050,New York
1,2,2024-07-20,24,Arlo Midtown,349,398,9.2,Wonderful,5379,New York
1,2,2024-07-20,25,Hilton Garden Inn New York/Times Square Central,237,306,8.2,Very Good,1877,Theater District
1,2,2024-07-20,26,Radio City Apartments,291,304,8.8,Excellent,3611,Theater District
1,2,2024-07-20,27,RIU Plaza Manhattan Times Square,445,370,9.0,Wonderful,3279,Theater District
1,2,2024-07-20,28,Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,270,313,8.8,Excellent,1319,Chelsea
1,2,2024-07-20,29,Moxy NYC East Village,263,339,8.8,Excellent,1016,New York
