Hotel Name,Price Before Taxes,Score,Classification,Number of Reviews,Room Type,Bed Type,Neighborhood,District,Cancellation Policy,Payment Policy,Total Price,Date of search,Checkin,Checkout,ttt,los,Hotel Index
Hotel Edison Times Square,179,8.0,Very Good,4298,,,Theater District,Theater District,Fully refundable,"Reserve now, pay later",255,2024-07-01,2024-07-02,2024-07-03,1,1,47
Mondrian Park Avenue,239,7.4,Good,1011,,,New York,New York,Fully refundable,,236,2024-07-01,2024-07-02,2024-07-03,1,1,48
Wingate by Wyndham New York Midtown South/5th Ave,192,8.6,Excellent,1002,,,New York,New York,,,224,2024-07-01,2024-07-02,2024-07-03,1,1,49
Park Terrace Hotel,278,9.4,Exceptional,1327,,,Central New York City,Central New York City,,,363,2024-07-01,2024-07-02,2024-07-03,1,1,50
The FIDI Hotel,199,8.8,Excellent,393,,,New York,New York,,,220,2024-07-01,2024-07-02,2024-07-03,1,1,51
"The Cloud One New York-Downtown, by the Motel One Group",209,8.8,Excellent,603,,,New York,New York,Fully refundable,,243,2024-07-01,2024-07-02,2024-07-03,1,1,52
The Gregorian,209,9.2,Wonderful,1219,,,New York,New York,,,248,2024-07-01,2024-07-02,2024-07-03,1,1,53
Hilton New York Fashion District,203,8.2,Very Good,1020,,,Chelsea,Chelsea,,,237,2024-07-01,2024-07-02,2024-07-03,1,1,54
Delta Hotels by Marriott New York Times Square,174,7.8,Good,519,,,New York,New York,,,205,2024-07-01,2024-07-02,2024-07-03,1,1,55
Element New York Times Square West,183,8.2,Very Good,1822,,,New York,New York,,,216,2024-07-01,2024-07-02,2024-07-03,1,1,56
Broadway Plaza Hotel,249,9.2,Wonderful,1527,,,New York,New York,,,272,2024-07-01,2024-07-02,2024-07-03,1,1,57
70 Park Avenue,175,9.0,Wonderful,1006,,,New York,New York,,,245,2024-07-01,2024-07-02,2024-07-03,1,1,58
Little Charlie Hotel,198,9.2,Wonderful,380,,,New York,New York,Fully refundable,"Reserve now, pay later",231,2024-07-01,2024-07-02,2024-07-03,1,1,59
New York Marriott Marquis,327,9.2,Wonderful,2782,,,Theater District,Theater District,,,425,2024-07-01,2024-07-02,2024-07-03,1,1,60
Fairfield Inn & Suites New York Manhattan / Central Park,198,8.4,Very Good,1001,,,New York,New York,,,231,2024-07-01,2024-07-02,2024-07-03,1,1,61
Omni Berkshire Place,236,9.2,Wonderful,1192,,,New York,New York,Fully refundable,,314,2024-07-01,2024-07-02,2024-07-03,1,1,62
Aliz Hotel Times Square,249,8.0,Very Good,1045,,,New York,New York,,,260,2024-07-01,2024-07-02,2024-07-03,1,1,63
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",167,9.0,Wonderful,874,,,New York,New York,,,230,2024-07-01,2024-07-02,2024-07-03,1,1,64
Studios in New York,108,7.8,Good,126,,,New York,New York,,,229,2024-07-01,2024-07-02,2024-07-03,1,1,65
Chelsea Savoy Hotel,255,8.6,Excellent,1936,,,Chelsea,Chelsea,Fully refundable,"Reserve now, pay later",238,2024-07-01,2024-07-02,2024-07-03,1,1,66
Radio City Apartments,223,8.8,Excellent,3567,,,Theater District,Theater District,Fully refundable,,234,2024-07-01,2024-07-02,2024-07-03,1,1,67
Freehand New York,179,8.2,Very Good,1060,,,New York,New York,,,249,2024-07-01,2024-07-02,2024-07-03,1,1,68
"Crowne Plaza Times Square Manhattan, an IHG Hotel",224,8.2,Very Good,2104,,,Theater District,Theater District,,,303,2024-07-01,2024-07-02,2024-07-03,1,1,69
Madison LES Hotel,161,8.0,Very Good,711,,,New York,New York,,,211,2024-07-01,2024-07-02,2024-07-03,1,1,70
YOTEL New York Times Square,179,7.4,Good,2334,,,New York,New York,Fully refundable,"Reserve now, pay later",254,2024-07-01,2024-07-02,2024-07-03,1,1,71
The Lex NYC,169,8.4,Very Good,1005,,,New York,New York,,,196,2024-07-01,2024-07-02,2024-07-03,1,1,72
The Flat NYC,194,8.6,Excellent,279,,,New York,New York,,,181,2024-07-01,2024-07-02,2024-07-03,1,1,73
Doxie Hotel,125,7.2,Good,760,,,New York,New York,,,147,2024-07-01,2024-07-02,2024-07-03,1,1,74
"Staypineapple, An Artful Hotel, Midtown",208,9.2,Wonderful,1013,,,New York,New York,Fully refundable,,236,2024-07-01,2024-07-02,2024-07-03,1,1,75
Pod 39,179,8.8,Excellent,1516,,,New York,New York,,,232,2024-07-01,2024-07-02,2024-07-03,1,1,76
Hyatt Centric Wall Street New York,189,8.8,Excellent,1010,,,New York,New York,Fully refundable,,237,2024-07-01,2024-07-02,2024-07-03,1,1,77
JG Sohotel,196,8.4,Very Good,230,,,SoHo,SoHo,Fully refundable,,250,2024-07-01,2024-07-02,2024-07-03,1,1,78
DoubleTree by Hilton Hotel New York City - Chelsea,207,7.8,Good,1020,,,Chelsea,Chelsea,,,241,2024-07-01,2024-07-02,2024-07-03,1,1,79
Sheraton Tribeca New York Hotel,219,8.4,Very Good,1009,,,New York,New York,Fully refundable,"Reserve now, pay later",255,2024-07-01,2024-07-02,2024-07-03,1,1,80
Hilton Garden Inn New York/Times Square Central,195,8.2,Very Good,1863,,,Theater District,Theater District,,,257,2024-07-01,2024-07-02,2024-07-03,1,1,81
"The Jewel Hotel, New York",277,9.2,Wonderful,2053,,,Central New York City,Central New York City,,,350,2024-07-01,2024-07-02,2024-07-03,1,1,82
Millennium Downtown New York,239,7.4,Good,2354,,,New York,New York,,,290,2024-07-01,2024-07-02,2024-07-03,1,1,83
Untitled at 3 Freeman Alley,225,9.2,Wonderful,250,,,New York,New York,Fully refundable,,259,2024-07-01,2024-07-02,2024-07-03,1,1,84
Chelsea Inn,157,7.8,Good,1011,,,New York,New York,,,206,2024-07-01,2024-07-02,2024-07-03,1,1,85
Four Points by Sheraton Midtown-Times Square,206,8.8,Excellent,1316,,,New York,New York,,,240,2024-07-01,2024-07-02,2024-07-03,1,1,86
