Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers;;;;;Passengers transported;2008M08;301,354
Total passengers;;;;;Passengers transported;2008M07;397,508
Total passengers;;;;;Passengers transported;2008M06;431,864
Total passengers;;;;;Passengers transported;2008M05;445,771
Total passengers;;;;;Passengers transported;2008M04;453,642
Total passengers;;;;;Passengers transported;2008M03;411,298
Total passengers;;;;;Passengers transported;2008M02;430,825
Total passengers;;;;;Passengers transported;2008M01;433,948
Total passengers;;;;;Passengers transported;2007M12;400,014
Total passengers;;;;;Passengers transported;2007M11;447,449
Total passengers;;;;;Passengers transported;2007M10;473,103
Total passengers;;;;;Passengers transported;2007M09;400,318
Total passengers;;;;;Passengers transported;2007M08;308,481
Total passengers;;;;;Passengers transported;2007M07;393,562
Total passengers;;;;;Passengers transported;2007M06;446,976
Total passengers;;;;;Passengers transported;2007M05;470,124
Total passengers;;;;;Passengers transported;2007M04;414,211
Total passengers;;;;;Passengers transported;2007M03;473,913
Total passengers;;;;;Passengers transported;2007M02;420,408
Total passengers;;;;;Passengers transported;2007M01;428,813
Total passengers;;;;;Passengers transported;2006M12;407,801
Total passengers;;;;;Passengers transported;2006M11;454,167
Total passengers;;;;;Passengers transported;2006M10;471,477
Total passengers;;;;;Passengers transported;2006M09;413,224
Total passengers;;;;;Passengers transported;2006M08;314,838
Total passengers;;;;;Passengers transported;2006M07;391,155
Total passengers;;;;;Passengers transported;2006M06;451,410
Total passengers;;;;;Passengers transported;2006M05;474,787
Total passengers;;;;;Passengers transported;2006M04;408,305
Total passengers;;;;;Passengers transported;2006M03;471,214
Total passengers;;;;;Passengers transported;2006M02;421,543
Total passengers;;;;;Passengers transported;2006M01;415,427
Total passengers;;;;;Passengers transported;2005M12;409,424
Total passengers;;;;;Passengers transported;2005M11;451,961
Total passengers;;;;;Passengers transported;2005M10;458,055
Total passengers;;;;;Passengers transported;2005M09;412,730
Total passengers;;;;;Passengers transported;2005M08;311,675
Total passengers;;;;;Passengers transported;2005M07;373,076
Total passengers;;;;;Passengers transported;2005M06;452,967
Total passengers;;;;;Passengers transported;2005M05;463,789
Total passengers;;;;;Passengers transported;2005M04;454,532
Total passengers;;;;;Passengers transported;2005M03;433,435
Total passengers;;;;;Passengers transported;2005M02;407,750
Total passengers;;;;;Passengers transported;2005M01;412,654
Total passengers;;;;;Passengers transported;2004M12;""
Total passengers;;;;;Passengers transported;2004M11;""
Total passengers;;;;;Passengers transported;2004M10;""
Total passengers;;;;;Passengers transported;2004M09;""
Total passengers;;;;;Passengers transported;2004M08;""
Total passengers;;;;;Passengers transported;2004M07;""
Total passengers;;;;;Passengers transported;2004M06;""
Total passengers;;;;;Passengers transported;2004M05;""
Total passengers;;;;;Passengers transported;2004M04;""
Total passengers;;;;;Passengers transported;2004M03;""
Total passengers;;;;;Passengers transported;2004M02;""
Total passengers;;;;;Passengers transported;2004M01;""
Total passengers;;;;;Passengers transported;2003M12;""
Total passengers;;;;;Passengers transported;2003M11;""
Total passengers;;;;;Passengers transported;2003M10;""
Total passengers;;;;;Passengers transported;2003M09;""
Total passengers;;;;;Passengers transported;2003M08;""
Total passengers;;;;;Passengers transported;2003M07;""
Total passengers;;;;;Passengers transported;2003M06;""
Total passengers;;;;;Passengers transported;2003M05;""
Total passengers;;;;;Passengers transported;2003M04;""
Total passengers;;;;;Passengers transported;2003M03;""
Total passengers;;;;;Passengers transported;2003M02;""
Total passengers;;;;;Passengers transported;2003M01;""
Total passengers;;;;;Passengers transported;2002M12;""
Total passengers;;;;;Passengers transported;2002M11;""
Total passengers;;;;;Passengers transported;2002M10;""
Total passengers;;;;;Passengers transported;2002M09;""
Total passengers;;;;;Passengers transported;2002M08;""
Total passengers;;;;;Passengers transported;2002M07;""
Total passengers;;;;;Passengers transported;2002M06;""
Total passengers;;;;;Passengers transported;2002M05;""
Total passengers;;;;;Passengers transported;2002M04;""
Total passengers;;;;;Passengers transported;2002M03;""
Total passengers;;;;;Passengers transported;2002M02;""
Total passengers;;;;;Passengers transported;2002M01;""
Total passengers;;;;;Passengers transported;2001M12;""
Total passengers;;;;;Passengers transported;2001M11;""
Total passengers;;;;;Passengers transported;2001M10;""
Total passengers;;;;;Passengers transported;2001M09;""
Total passengers;;;;;Passengers transported;2001M08;""
Total passengers;;;;;Passengers transported;2001M07;""
Total passengers;;;;;Passengers transported;2001M06;""
Total passengers;;;;;Passengers transported;2001M05;""
Total passengers;;;;;Passengers transported;2001M04;""
Total passengers;;;;;Passengers transported;2001M03;""
Total passengers;;;;;Passengers transported;2001M02;""
Total passengers;;;;;Passengers transported;2001M01;""
Total passengers;;;;;Passengers transported;2000M12;""
Total passengers;;;;;Passengers transported;2000M11;""
Total passengers;;;;;Passengers transported;2000M10;""
Total passengers;;;;;Passengers transported;2000M09;""
Total passengers;;;;;Passengers transported;2000M08;""
Total passengers;;;;;Passengers transported;2000M07;""
Total passengers;;;;;Passengers transported;2000M06;""
Total passengers;;;;;Passengers transported;2000M05;""
Total passengers;;;;;Passengers transported;2000M04;""
Total passengers;;;;;Passengers transported;2000M03;""
Total passengers;;;;;Passengers transported;2000M02;""
Total passengers;;;;;Passengers transported;2000M01;""
Total passengers;;;;;Passengers transported;1999M12;""
Total passengers;;;;;Passengers transported;1999M11;""
Total passengers;;;;;Passengers transported;1999M10;""
Total passengers;;;;;Passengers transported;1999M09;""
Total passengers;;;;;Passengers transported;1999M08;""
Total passengers;;;;;Passengers transported;1999M07;""
Total passengers;;;;;Passengers transported;1999M06;""
Total passengers;;;;;Passengers transported;1999M05;""
Total passengers;;;;;Passengers transported;1999M04;""
Total passengers;;;;;Passengers transported;1999M03;""
Total passengers;;;;;Passengers transported;1999M02;""
Total passengers;;;;;Passengers transported;1999M01;""
Total passengers;;;;;Passengers transported;1998M12;""
Total passengers;;;;;Passengers transported;1998M11;""
Total passengers;;;;;Passengers transported;1998M10;""
Total passengers;;;;;Passengers transported;1998M09;""
Total passengers;;;;;Passengers transported;1998M08;""
Total passengers;;;;;Passengers transported;1998M07;""
Total passengers;;;;;Passengers transported;1998M06;""
Total passengers;;;;;Passengers transported;1998M05;""
Total passengers;;;;;Passengers transported;1998M04;""
Total passengers;;;;;Passengers transported;1998M03;""
Total passengers;;;;;Passengers transported;1998M02;""
Total passengers;;;;;Passengers transported;1998M01;""
Total passengers;;;;;Passengers transported;1997M12;""
Total passengers;;;;;Passengers transported;1997M11;""
Total passengers;;;;;Passengers transported;1997M10;""
Total passengers;;;;;Passengers transported;1997M09;""
Total passengers;;;;;Passengers transported;1997M08;""
Total passengers;;;;;Passengers transported;1997M07;""
Total passengers;;;;;Passengers transported;1997M06;""
Total passengers;;;;;Passengers transported;1997M05;""
Total passengers;;;;;Passengers transported;1997M04;""
Total passengers;;;;;Passengers transported;1997M03;""
Total passengers;;;;;Passengers transported;1997M02;""
Total passengers;;;;;Passengers transported;1997M01;""
Total passengers;;;;;Passengers transported;1996M12;""
Total passengers;;;;;Passengers transported;1996M11;""
Total passengers;;;;;Passengers transported;1996M10;""
Total passengers;;;;;Passengers transported;1996M09;""
Total passengers;;;;;Passengers transported;1996M08;""
Total passengers;;;;;Passengers transported;1996M07;""
Total passengers;;;;;Passengers transported;1996M06;""
Total passengers;;;;;Passengers transported;1996M05;""
Total passengers;;;;;Passengers transported;1996M04;""
Total passengers;;;;;Passengers transported;1996M03;""
Total passengers;;;;;Passengers transported;1996M02;""
Total passengers;;;;;Passengers transported;1996M01;""
Total passengers;;;;;Annual variation;2024M04;20.9
Total passengers;;;;;Annual variation;2024M03;-2.9
Total passengers;;;;;Annual variation;2024M02;16.0
Total passengers;;;;;Annual variation;2024M01;13.6
Total passengers;;;;;Annual variation;2023M12;12.1
Total passengers;;;;;Annual variation;2023M11;12.9
Total passengers;;;;;Annual variation;2023M10;14.8
Total passengers;;;;;Annual variation;2023M09;13.7
Total passengers;;;;;Annual variation;2023M08;22.5
Total passengers;;;;;Annual variation;2023M07;21.5
Total passengers;;;;;Annual variation;2023M06;18.3
Total passengers;;;;;Annual variation;2023M05;16.6
Total passengers;;;;;Annual variation;2023M04;16.8
Total passengers;;;;;Annual variation;2023M03;20.7
Total passengers;;;;;Annual variation;2023M02;21.4
Total passengers;;;;;Annual variation;2023M01;33.7
Total passengers;;;;;Annual variation;2022M12;21.6
Total passengers;;;;;Annual variation;2022M11;17.8
Total passengers;;;;;Annual variation;2022M10;21.6
Total passengers;;;;;Annual variation;2022M09;23.8
Total passengers;;;;;Annual variation;2022M08;26.9
Total passengers;;;;;Annual variation;2022M07;23.7
Total passengers;;;;;Annual variation;2022M06;28.3
Total passengers;;;;;Annual variation;2022M05;38.3
Total passengers;;;;;Annual variation;2022M04;34.8
Total passengers;;;;;Annual variation;2022M03;42.6
Total passengers;;;;;Annual variation;2022M02;43.7
Total passengers;;;;;Annual variation;2022M01;40.9
Total passengers;;;;;Annual variation;2021M12;30.5
Total passengers;;;;;Annual variation;2021M11;46.8
Total passengers;;;;;Annual variation;2021M10;34.9
Total passengers;;;;;Annual variation;2021M09;35.0
Total passengers;;;;;Annual variation;2021M08;27.7
Total passengers;;;;;Annual variation;2021M07;26.0
Total passengers;;;;;Annual variation;2021M06;87.0
Total passengers;;;;;Annual variation;2021M05;298.3
Total passengers;;;;;Annual variation;2021M04;613.1
Total passengers;;;;;Annual variation;2021M03;32.0
Total passengers;;;;;Annual variation;2021M02;-47.1
Total passengers;;;;;Annual variation;2021M01;-51.0
Total passengers;;;;;Annual variation;2020M12;-40.7
Total passengers;;;;;Annual variation;2020M11;-44.8
Total passengers;;;;;Annual variation;2020M10;-46.1
Total passengers;;;;;Annual variation;2020M09;-43.6
Total passengers;;;;;Annual variation;2020M08;-44.9
Total passengers;;;;;Annual variation;2020M07;-46.9
Total passengers;;;;;Annual variation;2020M06;-62.9
Total passengers;;;;;Annual variation;2020M05;-84.2
Total passengers;;;;;Annual variation;2020M04;-91.2
Total passengers;;;;;Annual variation;2020M03;-53.7
Total passengers;;;;;Annual variation;2020M02;5.1
Total passengers;;;;;Annual variation;2020M01;1.4
Total passengers;;;;;Annual variation;2019M12;2.5
Total passengers;;;;;Annual variation;2019M11;1.8
Total passengers;;;;;Annual variation;2019M10;4.5
Total passengers;;;;;Annual variation;2019M09;3.4
Total passengers;;;;;Annual variation;2019M08;1.7
Total passengers;;;;;Annual variation;2019M07;3.9
Total passengers;;;;;Annual variation;2019M06;0.1
Total passengers;;;;;Annual variation;2019M05;2.9
Total passengers;;;;;Annual variation;2019M04;-2.3
Total passengers;;;;;Annual variation;2019M03;8.3
Total passengers;;;;;Annual variation;2019M02;4.8
Total passengers;;;;;Annual variation;2019M01;4.0
Total passengers;;;;;Annual variation;2018M12;5.2
Total passengers;;;;;Annual variation;2018M11;2.3
Total passengers;;;;;Annual variation;2018M10;5.9
Total passengers;;;;;Annual variation;2018M09;1.9
Total passengers;;;;;Annual variation;2018M08;2.4
Total passengers;;;;;Annual variation;2018M07;3.7
Total passengers;;;;;Annual variation;2018M06;2.5
Total passengers;;;;;Annual variation;2018M05;1.8
Total passengers;;;;;Annual variation;2018M04;12.0
Total passengers;;;;;Annual variation;2018M03;-6.0
Total passengers;;;;;Annual variation;2018M02;1.2
Total passengers;;;;;Annual variation;2018M01;6.2
Total passengers;;;;;Annual variation;2017M12;-0.1
Total passengers;;;;;Annual variation;2017M11;3.2
Total passengers;;;;;Annual variation;2017M10;3.2
Total passengers;;;;;Annual variation;2017M09;-0.6
Total passengers;;;;;Annual variation;2017M08;1.7
Total passengers;;;;;Annual variation;2017M07;3.8
Total passengers;;;;;Annual variation;2017M06;3.8
Total passengers;;;;;Annual variation;2017M05;4.3
Total passengers;;;;;Annual variation;2017M04;-7.9
Total passengers;;;;;Annual variation;2017M03;13.2
Total passengers;;;;;Annual variation;2017M02;1.5
Total passengers;;;;;Annual variation;2017M01;4.5
Total passengers;;;;;Annual variation;2016M12;0.8
Total passengers;;;;;Annual variation;2016M11;2.2
Total passengers;;;;;Annual variation;2016M10;0.7
Total passengers;;;;;Annual variation;2016M09;5.3
Total passengers;;;;;Annual variation;2016M08;6.3
Total passengers;;;;;Annual variation;2016M07;-0.6
Total passengers;;;;;Annual variation;2016M06;3.4
Total passengers;;;;;Annual variation;2016M05;3.8
Total passengers;;;;;Annual variation;2016M04;8.1
Total passengers;;;;;Annual variation;2016M03;-2.2
Total passengers;;;;;Annual variation;2016M02;5.1
Total passengers;;;;;Annual variation;2016M01;-0.2
