Type of transport: Nivel 1;Type of transport: Nivel 2;Type of transport: Nivel 3;Type of transport: Nivel 4;Type of transport: Nivel 5;Passengers and fees;Period;Total
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M12;0.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M11;-0.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M10;-0.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M09;0.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M08;0.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M07;0.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M06;-0.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M05;-1.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M04;-2.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M03;-1.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M02;-1.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2015M01;-2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M12;0.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M11;0.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M10;0.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M09;0.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M08;-1.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M07;-0.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M06;-0.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M05;0.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M04;1.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M03;-1.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M02;-1.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2014M01;-0.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M12;-1.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M11;-1.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M10;-1.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M09;-2.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M08;-1.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M07;-2.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M06;-2.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M05;-2.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M04;-3.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M03;-3.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M02;-2.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2013M01;-1.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M12;-1.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M11;-1.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M10;-1.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M09;-1.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M08;-1.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M07;-1.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M06;-0.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M05;-0.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M04;0.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M03;0.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M02;2.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2012M01;2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M12;2.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M11;2.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M10;2.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M09;2.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M08;2.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M07;2.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M06;3.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M05;2.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M04;2.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M03;3.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M02;3.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2011M01;3.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M12;-2.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M11;-3.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M10;-3.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M09;-3.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M08;-3.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M07;-3.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M06;-3.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M05;-3.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M04;-3.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M03;-5.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M02;-6.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2010M01;-9.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M12;-5.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M11;-6.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M10;-6.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M09;-6.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M08;-6.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M07;-6.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M06;-6.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M05;-6.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M04;-7.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M03;-5.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M02;-7.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2009M01;-5.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M12;-1.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M11;-1.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M10;-1.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M09;-1.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M08;-1.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M07;-2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M06;-2.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M05;-2.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M04;-1.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M03;-4.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M02;-1.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2008M01;-4.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M12;-1.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M11;-1.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M10;-0.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M09;-0.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M08;-0.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M07;0.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M06;0.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M05;0.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M04;1.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M03;1.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M02;-0.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2007M01;0.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M12;1.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M11;2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M10;2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M09;1.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M08;1.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M07;1.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M06;1.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M05;1.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M04;1.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M03;5.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M02;4.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2006M01;3.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M12;3.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M11;3.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M10;3.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M09;3.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M08;4.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M07;3.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M06;4.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M05;4.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M04;4.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M03;0.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M02;2.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2005M01;3.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M12;-0.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M11;-0.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M10;-0.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M09;0.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M08;-0.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M07;-0.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M06;0.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M05;-0.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M04;-1.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M03;-0.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M02;0.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2004M01;-0.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M12;2.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M11;2.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M10;2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M09;2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M08;2.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M07;2.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M06;2.1
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M05;1.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M04;1.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M03;4.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M02;1.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2003M01;0.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M12;4.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M11;4.2
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M10;4.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M09;4.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M08;4.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M07;4.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M06;4.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M05;4.8
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M04;5.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M03;1.3
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M02;4.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2002M01;4.6
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M12;6.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M11;6.9
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M10;6.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M09;6.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M08;7.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M07;7.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M06;7.7
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M05;8.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M04;9.0
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M03;9.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M02;9.4
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2001M01;15.5
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M12;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M11;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M10;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M09;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M08;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M07;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M06;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M05;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M04;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M03;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M02;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;2000M01;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M12;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M11;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M10;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M09;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M08;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M07;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M06;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M05;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M04;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M03;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M02;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1999M01;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M12;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M11;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M10;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M09;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M08;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M07;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M06;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M05;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M04;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M03;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M02;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1998M01;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M12;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M11;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M10;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M09;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M08;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M07;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M06;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M05;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M04;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M03;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M02;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1997M01;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M12;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M11;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M10;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M09;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M08;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M07;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M06;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M05;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M04;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M03;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M02;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Local;;Year-to-date average variation rate;1996M01;""
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2024M04;4,337
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2024M03;4,108
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2024M02;4,020
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2024M01;3,654
Total passengers; Inter-city transport;Railway City Transport;Inter-city transport by train: Regional;;Passengers transported;2023M12;4,675
